generation_number,alpha0y,xi,nicheidx1,amountniche1,amount_change1,nicheidx2,amountniche2,amount_change2,0,0.6,0,0,0,1,83,0
6,0,0.6,0,0,2712,1,967,2850,,,,,,,,
6,1.6,0.2,0,515,0,1,470,0,,,,,,,,
6,0,0.8,0,0,2671,1,966,2790,,,,,,,,
6,1.6,0.4,0,519,0,1,446,0,,,,,,,,
6,0.8,0.2,0,540,0,1,448,0,,,,,,,,
6,3.2,0.6,0,735,0,1,0,0,,,,,,,,
7,3.2,0.4,0,0,0,1,957,0,,,,,,,,
7,0.8,0.6,0,491,9,1,465,26,,,,,,,,
7,2.4,0.2,0,734,0,1,265,0,,,,,,,,
7,3.4,0.2,0,985,0,1,0,0,,,,,,,,
7,2.4,0.4,0,807,0,1,165,0,,,,,,,,
7,0,0.4,0,972,3840,1,0,2938,,,,,,,,
7,2.4,0.6,0,335,0,1,618,0,,,,,,,,
7,0,0.2,0,994,3665,1,0,2730,,,,,,,,
7,0.8,0.4,0,575,9,1,400,7,,,,,,,,
7,1.6,0.6,0,537,2,1,415,1,,,,,,,,
7,0,0.6,0,950,3694,1,0,2850,,,,,,,,
7,1.6,0.2,0,475,0,1,519,0,,,,,,,,
7,1.6,0.4,0,554,0,1,414,0,,,,,,,,
7,0,0.8,0,939,3659,1,0,2790,,,,,,,,
7,3.2,0.6,0,950,0,1,0,0,,,,,,,,
7,0.8,0.2,0,566,0,1,424,0,,,,,,,,
8,0.8,0.6,0,486,9,1,468,27,,,,,,,,
8,2.4,0.2,0,848,0,1,145,0,,,,,,,,
8,3.2,0.4,0,0,0,1,940,0,,,,,,,,
8,3.4,0.2,0,914,0,1,0,0,,,,,,,,
8,0,0.2,0,0,3665,1,986,3730,,,,,,,,
8,2.4,0.6,0,378,0,1,582,0,,,,,,,,
8,0,0.6,0,0,3694,1,964,3843,,,,,,,,
8,2.4,0.4,0,813,0,1,151,0,,,,,,,,
8,0,0.4,0,0,3840,1,966,3937,,,,,,,,
8,0.8,0.4,0,542,9,1,429,8,,,,,,,,
8,1.6,0.4,0,520,0,1,449,0,,,,,,,,
8,1.6,0.2,0,394,0,1,595,0,,,,,,,,
8,0,0.8,0,0,3659,1,948,3784,,,,,,,,
8,1.6,0.6,0,534,2,1,435,1,,,,,,,,
8,3.2,0.6,0,949,0,1,0,0,,,,,,,,
8,0.8,0.2,0,540,0,1,445,0,,,,,,,,
9,0.8,0.6,0,456,9,1,511,28,,,,,,,,
9,3.2,0.4,0,0,0,1,819,0,,,,,,,,
9,2.4,0.2,0,865,0,1,122,0,,,,,,,,
9,0,0.2,0,985,4665,1,0,3730,,,,,,,,
9,3.4,0.2,0,977,0,1,0,0,,,,,,,,
9,2.4,0.4,0,794,0,1,174,0,,,,,,,,
9,0,0.4,0,968,4838,1,0,3937,,,,,,,,
9,2.4,0.6,0,377,0,1,576,0,,,,,,,,
9,0,0.6,0,942,4667,1,0,3843,,,,,,,,
9,0.8,0.4,0,517,9,1,434,8,,,,,,,,
9,1.6,0.4,0,482,0,1,477,0,,,,,,,,
9,1.6,0.2,0,409,0,1,574,0,,,,,,,,
9,1.6,0.6,0,531,2,1,428,1,,,,,,,,
9,0,0.8,0,948,4648,1,0,3784,,,,,,,,
9,0.8,0.2,0,520,0,1,468,0,,,,,,,,
9,3.2,0.6,0,949,0,1,0,0,,,,,,,,
10,0.8,0.6,0,415,12,1,533,29,,,,,,,,
10,2.4,0.2,0,834,0,1,157,0,,,,,,,,
10,3.2,0.4,0,0,0,1,965,0,,,,,,,,
10,0,0.2,0,0,4665,1,984,4730,,,,,,,,
10,3.4,0.2,0,934,0,1,0,0,,,,,,,,
10,2.4,0.4,0,670,0,1,296,0,,,,,,,,
10,0,0.4,0,0,4838,1,965,4937,,,,,,,,
10,2.4,0.6,0,320,0,1,630,0,,,,,,,,
10,0.8,0.4,0,450,9,1,516,8,,,,,,,,
10,0,0.6,0,0,4667,1,970,4839,,,,,,,,
10,1.6,0.4,0,450,0,1,501,0,,,,,,,,
10,1.6,0.2,0,410,0,1,571,0,,,,,,,,
10,1.6,0.6,0,487,2,1,478,1,,,,,,,,
10,0,0.8,0,0,4648,1,945,4784,,,,,,,,
10,0.8,0.2,0,493,0,1,488,0,,,,,,,,
10,3.2,0.6,0,946,0,1,0,0,,,,,,,,
11,2.4,0.2,0,725,0,1,259,0,,,,,,,,
11,0.8,0.6,0,444,13,1,518,30,,,,,,,,
11,3.2,0.4,0,0,0,1,964,0,,,,,,,,
11,0,0.2,0,991,5665,1,0,4730,,,,,,,,
11,3.4,0.2,0,955,0,1,0,0,,,,,,,,
11,2.4,0.4,0,471,0,1,500,0,,,,,,,,
11,0,0.4,0,970,5838,1,0,4937,,,,,,,,
11,0.8,0.4,0,408,9,1,559,8,,,,,,,,
11,2.4,0.6,0,314,0,1,636,0,,,,,,,,
11,0,0.6,0,936,5632,1,15,4839,,,,,,,,
11,1.6,0.4,0,404,0,1,556,0,,,,,,,,
11,1.6,0.2,0,380,0,1,606,0,,,,,,,,
11,1.6,0.6,0,436,2,1,520,1,,,,,,,,
11,0,0.8,0,945,5645,1,0,4784,,,,,,,,
11,0.8,0.2,0,441,0,1,547,0,,,,,,,,
11,3.2,0.6,0,950,0,1,0,0,,,,,,,,
12,2.4,0.2,0,568,0,1,407,0,,,,,,,,
12,0.8,0.6,0,486,14,1,457,31,,,,,,,,
12,0,0.2,0,0,5665,1,988,5730,,,,,,,,
12,3.2,0.4,0,0,0,1,959,0,,,,,,,,
12,3.4,0.2,0,944,0,1,0,0,,,,,,,,
12,2.4,0.4,0,313,0,1,653,0,,,,,,,,
12,0.8,0.4,0,369,9,1,587,8,,,,,,,,
12,0,0.6,0,1,5632,1,962,5831,,,,,,,,
12,2.4,0.6,0,346,0,1,613,0,,,,,,,,
12,0,0.4,0,0,5838,1,964,5937,,,,,,,,
12,1.6,0.4,0,362,0,1,587,0,,,,,,,,
12,1.6,0.2,0,352,0,1,621,0,,,,,,,,
12,1.6,0.6,0,369,2,1,576,1,,,,,,,,
12,0,0.8,0,0,5645,1,952,5784,,,,,,,,
13,2.4,0.2,0,442,0,1,534,0,,,,,,,,
12,0.8,0.2,0,364,0,1,617,0,,,,,,,,
12,3.2,0.6,0,947,0,1,0,0,,,,,,,,
13,3.2,0.4,0,0,0,1,947,0,,,,,,,,
13,0,0.2,0,983,6665,1,0,5730,,,,,,,,
13,0.8,0.6,0,523,17,1,404,37,,,,,,,,
13,3.4,0.2,0,961,0,1,0,0,,,,,,,,
13,2.4,0.4,0,354,0,1,608,0,,,,,,,,
13,0,0.6,0,864,6517,1,91,5831,,,,,,,,
13,0.8,0.4,0,423,11,1,544,8,,,,,,,,
13,2.4,0.6,0,322,0,1,608,0,,,,,,,,
13,1.6,0.4,0,399,0,1,553,0,,,,,,,,
13,0,0.4,0,974,6838,1,0,5937,,,,,,,,
13,0,0.8,0,951,6645,1,0,5784,,,,,,,,
13,1.6,0.6,0,302,2,1,651,1,,,,,,,,
13,1.6,0.2,0,313,0,1,662,0,,,,,,,,
13,0.8,0.2,0,341,0,1,634,0,,,,,,,,
13,3.2,0.6,0,951,0,1,0,0,,,,,,,,
14,2.4,0.2,0,351,0,1,624,0,,,,,,,,
14,3.2,0.4,0,0,0,1,954,0,,,,,,,,
14,0,0.2,0,0,6665,1,981,6730,,,,,,,,
14,0.8,0.6,0,528,17,1,427,40,,,,,,,,
14,3.4,0.2,0,960,0,1,0,0,,,,,,,,
14,0,0.6,0,2,6517,1,951,6797,,,,,,,,
14,0.8,0.4,0,461,11,1,492,9,,,,,,,,
14,1.6,0.4,0,520,0,1,446,0,,,,,,,,
14,0,0.4,0,0,6838,1,970,6937,,,,,,,,
14,2.4,0.6,0,340,1,1,617,0,,,,,,,,
14,2.4,0.4,0,494,0,1,464,0,,,,,,,,
14,0,0.8,0,0,6645,1,949,6783,,,,,,,,
14,1.6,0.6,0,281,3,1,658,1,,,,,,,,
14,1.6,0.2,0,348,0,1,635,0,,,,,,,,
14,0.8,0.2,0,363,0,1,621,0,,,,,,,,
14,3.2,0.6,0,958,0,1,0,0,,,,,,,,
15,3.2,0.4,0,0,0,1,919,0,,,,,,,,
15,2.4,0.2,0,451,0,1,512,0,,,,,,,,
15,0,0.2,0,982,7665,1,0,6730,,,,,,,,
15,0.8,0.6,0,501,19,1,449,45,,,,,,,,
15,3.4,0.2,0,978,0,1,0,0,,,,,,,,
15,0,0.6,0,947,7495,1,0,6797,,,,,,,,
15,0.8,0.4,0,502,11,1,470,9,,,,,,,,
15,1.6,0.4,0,668,0,1,288,0,,,,,,,,
15,0,0.4,0,974,7838,1,0,6937,,,,,,,,
15,2.4,0.6,0,345,1,1,617,0,,,,,,,,
15,0,0.8,0,949,7645,1,0,6783,,,,,,,,
15,2.4,0.4,0,568,0,1,389,0,,,,,,,,
15,1.6,0.2,0,369,0,1,619,0,,,,,,,,
15,1.6,0.6,0,322,4,1,628,1,,,,,,,,
15,0.8,0.2,0,441,0,1,532,0,,,,,,,,
15,3.2,0.6,0,959,0,1,0,0,,,,,,,,
16,2.4,0.2,0,610,0,1,369,0,,,,,,,,
16,3.2,0.4,0,0,0,1,903,0,,,,,,,,
16,0,0.2,0,0,7665,1,993,7730,,,,,,,,
16,0.8,0.6,0,419,20,1,525,48,,,,,,,,
16,0,0.6,0,1,7495,1,960,7790,,,,,,,,
16,3.4,0.2,0,940,0,1,0,0,,,,,,,,
16,1.6,0.4,0,764,0,1,197,0,,,,,,,,
16,0.8,0.4,0,480,11,1,476,10,,,,,,,,
16,0,0.4,0,0,7838,1,975,7937,,,,,,,,
16,2.4,0.6,0,334,1,1,585,0,,,,,,,,
16,0,0.8,0,0,7645,1,935,7783,,,,,,,,
16,1.6,0.2,0,351,0,1,640,0,,,,,,,,
16,2.4,0.4,0,488,0,1,459,0,,,,,,,,
16,1.6,0.6,0,369,4,1,578,1,,,,,,,,
16,0.8,0.2,0,521,0,1,464,0,,,,,,,,
16,3.2,0.6,0,911,0,1,0,0,,,,,,,,
17,2.4,0.2,0,652,0,1,324,0,,,,,,,,
17,3.2,0.4,0,0,0,1,956,0,,,,,,,,
17,0,0.2,0,987,8665,1,0,7730,,,,,,,,
17,0.8,0.6,0,279,23,1,676,50,,,,,,,,
17,0,0.6,0,815,8329,1,133,7790,,,,,,,,
17,3.4,0.2,0,975,0,1,0,0,,,,,,,,
17,1.6,0.4,0,798,0,1,172,0,,,,,,,,
17,0.8,0.4,0,419,11,1,528,12,,,,,,,,
17,0,0.4,0,976,8838,1,0,7937,,,,,,,,
17,2.4,0.6,0,437,1,1,510,0,,,,,,,,
17,0,0.8,0,938,8645,1,0,7783,,,,,,,,
17,1.6,0.2,0,300,0,1,686,0,,,,,,,,
17,2.4,0.4,0,323,0,1,640,0,,,,,,,,
17,1.6,0.6,0,386,4,1,578,1,,,,,,,,
17,0.8,0.2,0,527,0,1,455,0,,,,,,,,
17,3.2,0.6,0,946,0,1,0,0,,,,,,,,
18,2.4,0.2,0,575,0,1,409,0,,,,,,,,
